iter	Passed	Remaining
0	184	184493
1	228	113984
2	276	92025
3	321	80050
4	365	72708
5	410	68047
6	460	65257
7	505	62685
8	548	60403
9	591	58581
10	636	57213
11	682	56218
12	722	54871
13	767	54066
14	807	53000
15	849	52213
16	898	51981
17	953	52035
18	1003	51814
19	1042	51062
20	1083	50501
21	1127	50118
22	1172	49818
23	1211	49248
24	1256	48990
25	1304	48868
26	1348	48584
27	1390	48270
28	1429	47852
29	1473	47633
30	1515	47378
31	1559	47168
32	1604	47005
33	1647	46811
34	1691	46623
35	1735	46484
36	1781	46364
37	1825	46206
38	1871	46123
39	1916	46005
40	1959	45834
41	1993	45465
42	2037	45339
43	2081	45233
44	2127	45139
45	2173	45081
46	2219	45009
47	2276	45151
48	2321	45050
49	2356	44776
50	2400	44659
51	2445	44585
52	2487	44450
53	2535	44423
54	2580	44342
55	2624	44248
56	2665	44095
57	2708	43992
58	2754	43927
59	2796	43805
60	2836	43660
61	2881	43594
62	2916	43378
63	2956	43241
64	2997	43115
65	3043	43071
66	3087	42995
67	3119	42755
68	3154	42568
69	3196	42461
70	3242	42427
71	3277	42243
72	3325	42231
73	3370	42171
74	3405	41999
75	3450	41952
76	3493	41879
77	3536	41804
78	3568	41599
79	3608	41502
80	3652	41439
81	3697	41393
82	3730	41211
83	3772	41141
84	3804	40955
85	3849	40909
86	3884	40760
87	3915	40581
88	3959	40533
89	4004	40493
90	4047	40433
91	4107	40542
92	4152	40495
93	4197	40458
94	4233	40333
95	4278	40289
96	4328	40294
97	4369	40217
98	4412	40155
99	4459	40136
100	4502	40077
101	4545	40020
102	4590	39978
103	4623	39834
104	4657	39701
105	4701	39653
106	4747	39623
107	4780	39479
108	4826	39455
109	4862	39344
110	4904	39283
111	4935	39131
112	4965	38975
113	5005	38904
114	5038	38776
115	5087	38772
116	5130	38719
117	5163	38591
118	5195	38462
119	5229	38352
120	5262	38231
121	5296	38115
122	5333	38025
123	5367	37921
124	5400	37801
125	5434	37699
126	5467	37585
127	5499	37463
128	5529	37337
129	5561	37221
130	5593	37105
131	5625	36990
132	5656	36873
133	5687	36753
134	5716	36628
135	5747	36512
136	5780	36410
137	5813	36310
138	5844	36204
139	5876	36097
140	5910	36005
141	5941	35901
142	5973	35799
143	6004	35695
144	6037	35602
145	6070	35508
146	6108	35448
147	6141	35357
148	6174	35266
149	6208	35179
150	6242	35100
151	6275	35012
152	6312	34945
153	6351	34889
154	6383	34801
155	6418	34727
156	6450	34637
157	6484	34555
158	6517	34473
159	6550	34387
160	6582	34300
161	6613	34208
162	6644	34120
163	6677	34036
164	6710	33961
165	6743	33877
166	6775	33795
167	6808	33717
168	6840	33635
169	6872	33555
170	6905	33476
171	6938	33400
172	6971	33326
173	7003	33247
174	7036	33172
175	7067	33089
176	7099	33008
177	7137	32962
178	7172	32898
179	7210	32849
180	7244	32778
181	7276	32703
182	7310	32637
183	7346	32579
184	7378	32505
185	7409	32427
186	7441	32352
187	7472	32275
188	7505	32206
189	7536	32131
190	7569	32060
191	7599	31982
192	7633	31918
193	7665	31849
194	7698	31780
195	7730	31709
196	7762	31639
197	7796	31579
198	7827	31504
199	7856	31425
200	7887	31352
201	7922	31296
202	7952	31223
203	7984	31155
204	8014	31081
205	8053	31039
206	8084	30972
207	8114	30899
208	8146	30830
209	8179	30770
210	8211	30705
211	8250	30665
212	8283	30604
213	8315	30543
214	8348	30482
215	8381	30421
216	8413	30359
217	8446	30300
218	8479	30239
219	8513	30184
220	8546	30123
221	8578	30063
222	8610	30001
223	8642	29941
224	8676	29884
225	8707	29821
226	8738	29758
227	8770	29695
228	8801	29632
229	8833	29572
230	8865	29512
231	8895	29448
232	8927	29388
233	8957	29322
234	8989	29263
235	9021	29205
236	9052	29142
237	9088	29098
238	9124	29054
239	9161	29011
240	9193	28954
241	9225	28895
242	9260	28849
243	9296	28803
244	9329	28751
245	9365	28704
246	9399	28656
247	9434	28606
248	9467	28555
249	9499	28497
250	9531	28442
251	9563	28386
252	9595	28331
253	9628	28279
254	9661	28226
255	9691	28166
256	9725	28116
257	9756	28059
258	9788	28004
259	9818	27945
260	9849	27887
261	9883	27839
262	9916	27787
263	9949	27737
264	9979	27680
265	10012	27627
266	10042	27568
267	10073	27515
268	10114	27485
269	10148	27438
270	10182	27391
271	10218	27350
272	10253	27305
273	10289	27262
274	10322	27214
275	10355	27165
276	10388	27114
277	10423	27071
278	10459	27029
279	10493	26983
280	10525	26932
281	10557	26879
282	10590	26831
283	10622	26779
284	10653	26727
285	10685	26675
286	10716	26622
287	10746	26568
288	10778	26517
289	10810	26467
290	10843	26420
291	10875	26369
292	10906	26318
293	10938	26266
294	10969	26214
295	11003	26171
296	11034	26119
297	11064	26064
298	11096	26016
299	11138	25990
300	11172	25946
301	11205	25898
302	11240	25857
303	11274	25813
304	11313	25779
305	11347	25735
306	11379	25687
307	11414	25645
308	11446	25596
309	11477	25545
310	11507	25495
311	11540	25448
312	11571	25397
313	11604	25352
314	11637	25306
315	11667	25256
316	11698	25204
317	11729	25154
318	11759	25103
319	11789	25053
320	11819	25002
321	11854	24961
322	11889	24919
323	11922	24876
324	11955	24830
325	11987	24783
326	12021	24740
327	12055	24698
328	12087	24653
329	12121	24610
330	12162	24581
331	12196	24539
332	12229	24495
333	12264	24455
334	12299	24415
335	12336	24379
336	12371	24339
337	12405	24297
338	12436	24248
339	12468	24202
340	12498	24153
341	12529	24105
342	12560	24059
343	12593	24015
344	12623	23966
345	12655	23921
346	12685	23872
347	12719	23830
348	12749	23782
349	12782	23738
350	12814	23694
351	12846	23648
352	12876	23601
353	12907	23554
354	12938	23507
355	12972	23466
356	13003	23420
357	13034	23373
358	13065	23328
359	13101	23290
360	13135	23250
361	13169	23209
362	13210	23181
363	13245	23142
364	13279	23102
365	13313	23062
366	13350	23026
367	13383	22985
368	13415	22940
369	13446	22895
370	13477	22850
371	13511	22809
372	13546	22771
373	13578	22728
374	13611	22685
375	13642	22641
376	13675	22599
377	13708	22556
378	13740	22514
379	13771	22469
380	13802	22423
381	13838	22388
382	13870	22344
383	13901	22301
384	13934	22258
385	13966	22215
386	13998	22173
387	14031	22132
388	14065	22092
